,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
38,Nigeria,3.6,7.7201036262475125,0.38,8.9,59.3,3.2655405405405413,-0.2,5.3981627015177525,0.02949061662198392,0.26541554959785524,5900.0,16.5
39,Uzbekistan,6.2,10.0,2.37,16.6,74.3,4.0,-2.1,4.219507705176107,0.0034334763948497852,0.08497854077253217,6900.0,5.0
40,Rwanda,7.9,8.396427811873332,0.13,5.8,64.5,3.2655405405405413,-0.5,6.139884552226255,0.0,0.3656716417910448,2100.0,2.7
41,French Polynesia,6.536708860759492,9.223027354217397,2.13,18.593333333333334,77.5,3.2655405405405413,-0.8,4.262679877041316,0.0,0.0,17000.0,21.8
42,British Virgin Islands,6.536708860759492,9.223027354217397,1.9103614457831317,18.593333333333334,78.9,3.2655405405405413,16.1,5.472270673671474,0.0,0.6666666666666666,34200.0,2.9
43,Nepal,6.1,7.993747556684537,0.65,4.1,71.3,3.0,-2.5,5.313205979041787,0.0,0.0625,2700.0,3.0
44,Peru,5.3,9.705668446840743,1.27,19.7,74.2,1.6,-2.1,3.218875824868201,0.022323595069397264,0.27846258371348154,13500.0,6.9
45,Finland,9.4,9.223027354217397,3.81,22.2,81.1,4.4,2.8,2.8332133440562166,0.02024675735526732,0.09490667510281556,44500.0,8.5
46,Armenia,9.9,9.984988733093292,2.9,20.2,75.1,4.2,-5.6,4.634728988229637,0.014995313964386131,0.2483598875351453,9500.0,18.9
47,Grenada,5.0,9.929753269845127,1.45,21.3,74.8,3.7,-2.8,5.7899601708972535,0.0,0.0,15100.0,24.0
48,Kazakhstan,3.9,9.989994994993742,3.25,21.0,71.4,6.7,0.4,2.079441541679836,0.011102299762093577,0.16098334655035687,26300.0,5.0
49,Slovenia,8.5,9.984988733093292,2.81,20.2,81.2,4.6,1.0,4.653960350157523,0.045901639344262286,0.12459016393442625,34500.0,6.6
50,Ghana,5.9,8.752142594816426,0.18,10.9,67.4,0.9,-1.7,4.7791234931115305,0.012578616352201259,0.026729559748427674,4700.0,11.9
51,Vietnam,5.7,9.721111047611789,0.82,2.1,73.9,2.6,-0.3,5.683579767338681,0.0,0.6329588014981273,6900.0,2.2
52,India,3.9,8.438009243891592,0.78,3.9,69.1,0.7,0.0,5.9814142112544815,0.03421258814311831,0.11830765212849308,7200.0,8.5
53,Japan,10.9,9.223027354217397,2.41,4.3,85.5,13.4,0.0,5.814130531825067,0.01851616994292961,0.10818008877615726,42900.0,2.9
54,Portugal,9.0,9.782637681116482,3.34,20.8,80.9,3.4,-0.2,4.727387818712341,0.03249656121045392,0.0198876662081614,30500.0,8.9
55,Bosnia and Herzegovina,9.2,9.924716620639604,1.89,17.9,77.1,3.5,-0.4,4.330733340286331,0.03693444136657433,0.21791320406278847,12800.0,20.5
