,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
67,Gabon,2.7,83.2,0.36,15.0,68.0,6.3,7.0,8.0,0.017543859649122806,0.017543859649122806,18100.0,28.0
68,Gambia,6.7,55.5,0.11,10.3,65.4,,,,0.1111111111111111,0.2222222222222222,2600.0,0.0
69,Georgia,7.9,99.8,5.1,21.7,76.6,2.6,-1.1,57.0,0.01,0.23,10700.0,11.8
70,Germany,11.2,,4.21,22.3,80.9,8.3,1.5,225.0,0.026435216700703427,0.5158460025716662,50800.0,3.8
71,Ghana,5.9,76.6,0.18,10.9,67.4,0.9,-1.7,118.0,0.012578616352201259,0.026729559748427674,4700.0,11.9
72,Gibraltar,,,,,79.7,,-3.3,4532.0,0.0,0.7209302325581395,61700.0,1.0
73,Greece,8.4,97.7,4.59,24.9,80.8,4.3,2.3,82.0,0.04654377880184332,0.123963133640553,27800.0,21.5
74,Greenland,,100.0,1.87,,72.9,8.2,-6.0,0.0,0.0,1.0,41800.0,9.1
75,Grenada,5.0,98.6,1.45,21.3,74.8,3.7,-2.8,326.0,0.0,0.0,15100.0,24.0
76,Guadeloupe,,,,,,,,,0.05517241379310345,0.4620689655172414,0.0,0.0
77,Guatemala,5.7,81.5,0.36,21.2,71.8,0.6,-2.4,152.0,0.027777777777777776,0.10555555555555557,8200.0,2.3
78,Guinea,4.5,30.4,0.08,7.7,62.1,0.3,0.0,48.0,0.0,0.08539944903581267,2200.0,2.7
79,Guinea-Bissau,6.9,59.9,0.2,9.5,61.4,1.0,-4.0,51.0,0.0,0.0,1900.0,0.0
80,Guyana,4.5,88.5,0.8,20.2,68.9,1.6,-3.2,3.0,0.1276595744680851,0.1702127659574468,8100.0,11.1
81,Haiti,6.9,60.7,0.23,22.7,64.6,0.7,-2.0,389.0,0.075,0.0,1800.0,40.6
82,Honduras,7.6,89.0,0.31,21.4,71.3,0.7,-1.1,82.0,0.07398568019093077,0.016706443914081142,5600.0,5.6
83,Hong Kong,,,1.96,,83.1,5.4,1.7,6510.0,0.003948667324777886,0.4284304047384008,61500.0,3.1
84,Hungary,7.2,99.1,3.23,26.4,76.3,7.0,1.3,106.0,0.08068783068783067,0.08068783068783067,29600.0,4.2
85,Iceland,8.6,,3.97,21.9,83.1,3.4,3.7,3.0,0.004651162790697674,0.575,52200.0,2.8
86,India,3.9,71.2,0.78,3.9,69.1,0.7,0.0,395.0,0.03421258814311831,0.11830765212849308,7200.0,8.5
87,Indonesia,3.3,95.4,0.38,6.9,73.2,1.2,-1.1,138.0,0.09485430874147552,0.08803471791692498,12400.0,5.4
88,Iran,7.6,85.5,1.14,25.8,74.2,0.2,-0.2,50.0,0.06254256981449577,0.6427741496053527,20100.0,11.8
89,Iraq,,79.7,0.82,30.4,74.9,1.4,-1.1,92.0,0.055714285714285716,0.5471428571428572,16700.0,16.0
90,Ireland,7.8,,3.09,25.3,81.0,2.8,4.0,72.0,0.035368934576182585,0.0021778900601097657,73200.0,6.7
91,Isle of Man,,,,,81.4,,5.8,156.0,0.007874015748031496,0.5551181102362205,84600.0,1.1
92,Israel,7.4,97.8,3.22,26.1,82.7,3.1,2.1,384.0,0.010210858376224471,0.18221816370579447,36400.0,4.2
93,Italy,9.0,99.2,4.09,19.9,82.4,3.4,3.6,207.0,0.12965265127270936,0.2285091822165329,38200.0,11.3
94,Ivory Coast,,,,,,,,,0.009404388714733545,0.1786833855799373,0.0,0.0
95,Jamaica,5.9,88.7,1.32,24.7,74.5,1.7,-9.4,256.0,0.0380952380952381,0.18095238095238092,9200.0,12.2
96,Japan,10.9,,2.41,4.3,85.5,13.4,0.0,334.0,0.01851616994292961,0.10818008877615726,42900.0,2.9
97,Jordan,6.9,95.4,2.34,35.5,75.0,1.4,0.0,117.0,0.017632241813602016,0.5919395465994962,9200.0,18.3
98,Kazakhstan,3.9,99.8,3.25,21.0,71.4,6.7,0.4,7.0,0.011102299762093577,0.16098334655035687,26300.0,5.0
99,Kenya,5.2,78.0,0.2,7.1,64.6,1.4,-0.2,83.0,0.04166666666666666,0.18981481481481485,3500.0,40.0
100,Kuwait,4.0,96.0,2.58,37.9,78.3,2.0,-2.8,164.0,0.002214022140221402,0.12988929889298892,65800.0,1.1
101,Kyrgyzstan,,99.5,1.88,16.6,71.2,4.5,-5.1,29.0,0.011627906976744186,0.16511627906976745,3700.0,7.1
102,Laos,2.8,84.7,0.5,5.3,65.0,1.5,-1.0,31.0,0.0,0.05263157894736842,7400.0,0.7
103,Latvia,5.8,99.9,3.19,23.6,74.9,5.8,-6.0,30.0,0.0076103500761035,0.0243531202435312,27700.0,8.7
104,Lebanon,7.4,93.9,2.27,32.0,77.9,2.9,-40.3,587.0,0.0327613104524181,0.124804992199688,19600.0,9.7
105,Liberia,15.2,47.6,0.04,9.9,63.8,0.8,-4.7,43.0,0.1016949152542373,0.06779661016949153,1300.0,2.8
106,Libya,,91.0,2.16,32.5,76.9,3.7,0.9,4.0,0.028571428571428567,0.2571428571428571,9600.0,30.0
107,Liechtenstein,,,,,82.0,,5.0,241.0,0.012658227848101266,0.6962025316455697,139100.0,2.4
108,Lithuania,6.5,99.8,4.34,26.3,75.2,7.3,-6.1,43.0,0.02710280373831776,0.09439252336448598,32400.0,7.1
109,Luxembourg,6.0,,3.03,22.6,82.4,4.9,14.8,234.0,0.02026005442999697,0.15119443604475355,105100.0,5.8
110,MS Zaandam,,,,,,,,,0.2222222222222222,0.0,0.0,0.0
111,Macao,,,,,84.6,,,,0.0,0.2222222222222222,0.0,0.0
112,Madagascar,5.2,64.7,0.18,5.3,66.6,0.2,0.0,44.0,0.0,0.21296296296296294,1600.0,1.8
113,Malaysia,4.0,94.6,1.51,15.6,75.4,1.9,-0.3,96.0,0.01644275115299779,0.4968919189893724,29100.0,3.4
114,Maldives,11.5,99.3,1.04,8.6,76.0,4.3,-12.7,1317.0,0.0,0.8,19200.0,2.9
115,Mali,5.8,33.1,0.14,8.6,60.8,0.1,-3.9,15.0,0.09027777777777778,0.2361111111111111,2200.0,7.9
116,Malta,9.6,94.4,3.83,28.9,82.7,4.7,7.8,1421.0,0.0076335877862595426,0.11195928753180663,41900.0,4.6
117,Martinique,,,,,,,,,0.05063291139240506,0.4620253164556962,0.0,0.0
118,Mauritania,4.6,52.1,0.18,12.7,63.8,,-0.8,4.0,0.14285714285714285,0.2857142857142857,4500.0,10.2
119,Mauritius,5.5,93.2,2.54,10.8,76.0,3.7,0.0,669.0,0.027777777777777776,0.1574074074074074,22300.0,7.1
120,Mayotte,,,,,,,,,0.013824884792626729,0.3179723502304148,0.0,0.0
121,Mexico,5.9,94.9,2.25,28.9,76.3,1.5,-1.8,64.0,0.07519911094647158,0.3935914058158919,19900.0,3.4
122,Moldova,10.2,99.4,3.2,18.9,71.3,5.8,-9.3,102.0,0.02068252326783868,0.06928645294725956,6700.0,4.1
123,Monaco,2.0,,6.56,,89.4,13.8,6.5,15364.0,0.010752688172043013,0.06451612903225806,115700.0,2.0
124,Mongolia,3.9,98.4,2.89,20.6,70.2,7.0,-0.8,2.0,0.0,0.16666666666666666,13000.0,8.0
125,Montenegro,6.0,98.7,2.33,23.3,,4.0,-4.9,44.0,0.01413427561837456,0.1625441696113074,17800.0,16.1
126,Montserrat,,,,,74.8,,0.0,52.0,0.0,0.09090909090909093,34000.0,5.6
127,Morocco,5.5,68.5,0.73,26.1,77.3,1.1,-3.1,77.0,0.06673728813559322,0.1149364406779661,8600.0,10.2
128,Mozambique,5.4,56.0,0.07,7.2,54.1,0.7,-1.8,34.0,0.0,0.07142857142857142,1300.0,24.5
129,Myanmar,5.1,75.6,0.86,5.8,68.6,,,,0.06349206349206349,0.031746031746031744,6300.0,4.0
130,Namibia,8.9,81.9,,17.2,64.4,2.7,0.0,3.0,0.0,0.1875,11200.0,34.0
131,Nepal,6.1,63.9,0.65,4.1,71.3,3.0,-2.5,202.0,0.0,0.0625,2700.0,3.0
132,Netherlands,10.7,,3.51,20.4,81.5,4.7,1.9,413.0,0.1074072723294066,0.009117765053430104,53900.0,4.9
133,New Caledonia,,96.9,2.22,,78.0,,3.9,15.0,0.0,0.05555555555555555,31100.0,14.7
134,New Zealand,9.3,,3.03,30.8,81.4,2.8,2.2,17.0,0.006493506493506494,0.5252525252525253,39000.0,4.7
135,Nicaragua,7.8,82.8,1.01,23.7,73.7,0.9,-2.6,47.0,0.1111111111111111,0.4444444444444444,5900.0,6.4
136,Niger,7.2,19.1,0.05,5.5,56.3,,-0.5,16.0,0.02456140350877193,0.15789473684210525,1200.0,0.3
137,Nigeria,3.6,59.6,0.38,8.9,59.3,,-0.2,220.0,0.02949061662198392,0.26541554959785524,5900.0,16.5
138,North Macedonia,6.1,97.8,2.87,22.4,75.9,,,,0.048458149779735685,0.0947136563876652,14900.0,22.4
139,Norway,10.0,,4.63,23.1,82.0,3.8,5.3,17.0,0.02098746791484221,0.0048316472897478495,72100.0,4.2
140,Oman,3.8,96.1,1.97,27.0,75.9,1.6,-0.4,15.0,0.004920049200492005,0.15990159901599016,46000.0,0.0
141,Pakistan,2.7,57.9,0.98,8.6,68.4,0.6,-1.2,261.0,0.016446804865513105,0.23608017817371935,5400.0,6.0
142,Palestine,,,,,,,,,0.006493506493506494,0.2012987012987013,0.0,0.0
143,Panama,7.0,95.0,1.57,22.7,78.9,2.3,-0.2,50.0,0.026580861779518745,0.02014549524342473,25400.0,6.0
144,Papua New Guinea,3.8,64.2,0.05,21.3,67.5,,0.0,15.0,0.0,0.0,3700.0,2.5
145,Paraguay,7.8,94.7,1.37,20.3,77.6,1.3,-0.1,17.0,0.049689440993788817,0.14285714285714285,12800.0,5.7
