country,health_expend,literacy,physicians_density,obesity,life_expect,h_bed_density,imigrate_rate,pop_density,death_rate,recovery_rate,GDP,unemp_rate
Kyrgyzstan,6.2,99.5,1.88,16.6,71.2,4.5,-5.1,29.0,0.011627906976744186,0.16511627906976745,3700.0,7.1
Laos,2.8,84.7,0.5,5.3,65.0,1.5,-1.0,31.0,0.0,0.05263157894736842,7400.0,0.7
Latvia,5.8,99.9,3.19,23.6,74.9,5.8,-6.0,30.0,0.0076103500761035,0.0243531202435312,27700.0,8.7
Lebanon,7.4,93.9,2.27,32.0,77.9,2.9,-40.3,587.0,0.0327613104524181,0.12480499219968799,19600.0,9.7
Liberia,15.2,47.6,0.04,9.9,63.8,0.8,-4.7,43.0,0.1016949152542373,0.06779661016949153,1300.0,2.8
Libya,6.2,91.0,2.16,32.5,76.9,3.7,0.9,4.0,0.028571428571428567,0.2571428571428571,9600.0,30.0
Liechtenstein,6.2,94.4,1.78,20.6,82.0,2.7,5.0,241.0,0.012658227848101266,0.6962025316455697,139100.0,2.4
Lithuania,6.5,99.8,4.34,26.3,75.2,7.3,-6.1,43.0,0.02710280373831776,0.09439252336448598,32400.0,7.1
Luxembourg,6.0,94.4,3.03,22.6,82.4,4.9,14.8,234.0,0.020260054429996968,0.15119443604475355,105100.0,5.8
MS Zaandam,6.2,94.4,1.78,20.6,75.4,2.7,-0.2,90.5,0.2222222222222222,0.0,0.0,0.0
Macao,6.2,94.4,1.78,20.6,84.6,2.7,-0.2,90.5,0.0,0.2222222222222222,0.0,0.0
Madagascar,5.2,64.7,0.18,5.3,66.6,0.2,0.0,44.0,0.0,0.21296296296296294,1600.0,1.8
Malaysia,4.0,94.6,1.51,15.6,75.4,1.9,-0.3,96.0,0.01644275115299779,0.4968919189893724,29100.0,3.4
Maldives,11.5,99.3,1.04,8.6,76.0,4.3,-12.7,1317.0,0.0,0.8,19200.0,2.9
Mali,5.8,33.1,0.14,8.6,60.8,0.1,-3.9,15.0,0.09027777777777778,0.2361111111111111,2200.0,7.9
Malta,9.6,94.4,3.83,28.9,82.7,4.7,7.8,1421.0,0.0076335877862595426,0.11195928753180663,41900.0,4.6
Martinique,6.2,94.4,1.78,20.6,75.4,2.7,-0.2,90.5,0.05063291139240506,0.4620253164556962,0.0,0.0
Mauritania,4.6,52.1,0.18,12.7,63.8,2.7,-0.8,4.0,0.14285714285714285,0.2857142857142857,4500.0,10.2
Mauritius,5.5,93.2,2.54,10.8,76.0,3.7,0.0,669.0,0.027777777777777776,0.1574074074074074,22300.0,7.1
Mayotte,6.2,94.4,1.78,20.6,75.4,2.7,-0.2,90.5,0.013824884792626729,0.3179723502304148,0.0,0.0
Mexico,5.9,94.9,2.25,28.9,76.3,1.5,-1.8,64.0,0.07519911094647158,0.3935914058158919,19900.0,3.4
Moldova,10.2,99.4,3.2,18.9,71.3,5.8,-9.3,102.0,0.02068252326783868,0.06928645294725956,6700.0,4.1
Monaco,2.0,94.4,6.56,20.6,89.4,13.8,6.5,15364.0,0.010752688172043013,0.06451612903225806,115700.0,2.0
Mongolia,3.9,98.4,2.89,20.6,70.2,7.0,-0.8,2.0,0.0,0.16666666666666666,13000.0,8.0
Montenegro,6.0,98.7,2.33,23.3,75.4,4.0,-4.9,44.0,0.01413427561837456,0.1625441696113074,17800.0,16.1
Montserrat,6.2,94.4,1.78,20.6,74.8,2.7,0.0,52.0,0.0,0.09090909090909093,34000.0,5.6
Morocco,5.5,68.5,0.73,26.1,77.3,1.1,-3.1,77.0,0.06673728813559322,0.1149364406779661,8600.0,10.2
Mozambique,5.4,56.0,0.07,7.2,54.1,0.7,-1.8,34.0,0.0,0.07142857142857142,1300.0,24.5
Myanmar,5.1,75.6,0.86,5.8,68.6,2.7,-0.2,90.5,0.06349206349206349,0.031746031746031744,6300.0,4.0
Namibia,8.9,81.9,1.78,17.2,64.4,2.7,0.0,3.0,0.0,0.1875,11200.0,34.0
Nepal,6.1,63.9,0.65,4.1,71.3,3.0,-2.5,202.0,0.0,0.0625,2700.0,3.0
Netherlands,10.7,94.4,3.51,20.4,81.5,4.7,1.9,413.0,0.1074072723294066,0.009117765053430104,53900.0,4.9
New Caledonia,6.2,96.9,2.22,20.6,78.0,2.7,3.9,15.0,0.0,0.05555555555555555,31100.0,14.7
New Zealand,9.3,94.4,3.03,30.8,81.4,2.8,2.2,17.0,0.006493506493506494,0.5252525252525253,39000.0,4.7
Nicaragua,7.8,82.8,1.01,23.7,73.7,0.9,-2.6,47.0,0.1111111111111111,0.4444444444444444,5900.0,6.4
Niger,7.2,19.1,0.05,5.5,56.3,2.7,-0.5,16.0,0.02456140350877193,0.15789473684210525,1200.0,0.3
Nigeria,3.6,59.6,0.38,8.9,59.3,2.7,-0.2,220.0,0.02949061662198392,0.26541554959785524,5900.0,16.5
North Macedonia,6.1,97.8,2.87,22.4,75.9,2.7,-0.2,90.5,0.048458149779735685,0.0947136563876652,14900.0,22.4
