,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
39,China,5.0,9.818350166906862,1.79,6.2,75.8,4.2,-0.4,4.976733742420574,0.040610000607570335,0.9455738501731576,16700.0,3.9
40,Colombia,5.9,9.731392500562292,2.08,22.3,76.2,1.5,-0.6,3.7612001156935624,0.042631755622692176,0.1188318227593152,14400.0,9.3
41,Congo,4.6,8.905054744357274,0.12,9.6,60.3,3.2655405405405413,0.3152941176470587,0.0,0.06756756756756757,0.13513513513513514,6800.0,36.0
42,Costa Rica,7.6,9.889388252060893,1.15,25.7,78.9,1.1,0.8,4.59511985013459,0.0048543689320388345,0.10679611650485436,16900.0,8.1
43,Croatia,7.2,9.964938534682489,3.13,24.4,76.3,5.6,-1.4,4.330733340286331,0.0181924882629108,0.24354460093896715,24700.0,12.4
44,Cuba,12.2,9.989994994993742,8.19,24.6,78.9,5.2,-4.5,4.61512051684126,0.02741514360313316,0.17232375979112272,12300.0,2.6
45,Cyprus,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.017266187050359712,0.09352517985611512,0.0,0.0
46,Czechia,6.536708860759492,9.223027354217395,1.910361445783132,26.0,78.9,3.2655405405405413,0.3152941176470587,0.0,0.026345933562428408,0.10505645557191948,0.0,0.0
47,DRC,3.9,8.774964387392123,0.09,6.7,58.1,3.2655405405405413,0.3152941176470587,0.0,0.08298755186721991,0.08298755186721991,800.0,0.0
48,Denmark,10.4,9.223027354217395,4.46,19.7,81.0,2.5,4.3,4.912654885736052,0.04592228536323145,0.3862693902626325,50100.0,5.7
49,Diamond Princess,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.016853932584269662,0.8974719101123596,0.0,0.0
50,Djibouti,3.5,9.223027354217395,0.22,13.5,64.0,1.4,5.5,3.6635616461296463,0.005509641873278237,0.14600550964187328,3600.0,40.0
51,Dominica,5.3,9.223027354217395,1.08,27.9,77.4,3.8,-5.4,4.605170185988092,0.0,0.5,11000.0,23.0
52,Dominican Republic,6.2,9.6850400102426,1.56,27.6,71.3,1.6,-2.6,5.3612921657094255,0.055690809494826535,0.049300060864272674,17000.0,5.1
53,Ecuador,8.4,9.715966241192895,2.05,19.9,77.1,1.5,0.0,4.07753744390572,0.04853347362883072,0.09154281204787584,11500.0,4.6
54,Egypt,4.6,8.988882021697693,0.79,32.0,73.2,1.6,-0.4,4.605170185988092,0.07574468085106383,0.25063829787234043,12700.0,12.2
55,El Salvador,7.0,9.386160024205852,1.57,24.6,75.1,1.3,-7.8,5.68697535633982,0.040268456375838924,0.16778523489932887,8000.0,7.0
56,Equatorial Guinea,3.4,9.762171889492624,0.4,8.0,65.0,2.1,0.0,3.367295829986474,0.0,0.0975609756097561,37400.0,8.6
57,Eritrea,3.0,8.590692637965812,1.910361445783132,5.0,65.6,0.7,-13.1,3.9512437185814275,0.0,0.0,1600.0,5.8
58,Estonia,6.7,9.989994994993742,3.47,21.2,77.0,5.0,-3.1,3.367295829986474,0.022578295702840496,0.08375819373634377,31700.0,5.8
59,Eswatini,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.0,0.5333333333333333,0.0,0.0
60,Ethiopia,4.0,7.00713921654194,0.1,4.5,73.69005524861878,0.3,-0.2,4.59511985013459,0.03658536585365853,0.17073170731707318,2200.0,17.5
61,Faeroe Islands,6.536708860759492,9.223027354217395,2.62,18.593333333333337,80.6,3.2655405405405413,0.3152941176470587,0.0,0.0,0.8858695652173914,40000.0,2.2
62,Fiji,3.6,9.223027354217395,0.84,30.2,73.2,2.3,-6.4,3.9512437185814275,0.0,0.0,9800.0,4.5
63,Finland,9.4,9.223027354217395,3.81,22.2,81.1,4.4,2.8,2.833213344056216,0.02024675735526732,0.09490667510281556,44500.0,8.5
64,France,11.1,9.223027354217395,3.23,21.6,82.0,6.5,1.1,4.663439094112067,0.10976043767401937,0.20100765510840665,44100.0,9.4
65,French Guiana,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.0,0.5930232558139535,0.0,0.0
66,French Polynesia,6.536708860759492,9.223027354217395,2.13,18.593333333333337,77.5,3.2655405405405413,-0.8,4.2626798770413155,0.0,0.0,17000.0,21.8
67,Gabon,2.7,9.121403400793104,0.36,15.0,68.0,6.3,7.0,2.1972245773362196,0.017543859649122806,0.017543859649122806,18100.0,28.0
68,Gambia,6.7,7.44983221287567,0.11,10.3,65.4,3.2655405405405413,0.3152941176470587,0.0,0.1111111111111111,0.2222222222222222,2600.0,0.0
69,Georgia,7.9,9.989994994993742,5.1,21.7,76.6,2.6,-1.1,4.060443010546419,0.01,0.23,10700.0,11.8
70,Germany,11.2,9.223027354217395,4.21,22.3,80.9,8.3,1.5,5.420534999272286,0.026435216700703427,0.5158460025716662,50800.0,3.8
71,Ghana,5.9,8.752142594816426,0.18,10.9,67.4,0.9,-1.7,4.77912349311153,0.012578616352201259,0.026729559748427674,4700.0,11.9
72,Gibraltar,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,79.7,3.2655405405405413,-3.3,8.41913925094085,0.0,0.7209302325581395,61700.0,1.0
73,Greece,8.4,9.884331034521255,4.59,24.9,80.8,4.3,2.3,4.418840607796598,0.04654377880184332,0.123963133640553,27800.0,21.5
74,Greenland,6.536708860759492,10.0,1.87,18.593333333333337,72.9,8.2,-6.0,0.0,0.0,1.0,41800.0,9.1
75,Grenada,5.0,9.929753269845127,1.45,21.3,74.8,3.7,-2.8,5.7899601708972535,0.0,0.0,15100.0,24.0
76,Guadeloupe,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.05517241379310345,0.4620689655172414,0.0,0.0
77,Guatemala,5.7,9.027735042633894,0.36,21.2,71.8,0.6,-2.4,5.030437921392435,0.027777777777777776,0.10555555555555557,8200.0,2.3
78,Guinea,4.5,5.513619500836088,0.08,7.7,62.1,0.3,0.0,3.8918202981106265,0.0,0.08539944903581267,2200.0,2.7
79,Guinea-Bissau,6.9,7.739509028355739,0.2,9.5,61.4,1.0,-4.0,3.9512437185814275,0.0,0.0,1900.0,0.0
80,Guyana,4.5,9.40744386111339,0.8,20.2,68.9,1.6,-3.2,1.3862943611198906,0.1276595744680851,0.1702127659574468,8100.0,11.1
81,Haiti,6.9,7.791020472312982,0.23,22.7,64.6,0.7,-2.0,5.966146739123692,0.075,0.0,1800.0,40.6
82,Honduras,7.6,9.433981132056603,0.31,21.4,71.3,0.7,-1.1,4.418840607796598,0.07398568019093077,0.016706443914081142,5600.0,5.6
83,Hong Kong,6.536708860759492,9.223027354217395,1.96,18.593333333333337,83.1,5.4,1.7,8.781248333236862,0.003948667324777886,0.4284304047384008,61500.0,3.1
84,Hungary,7.2,9.954898291795853,3.23,26.4,76.3,7.0,1.3,4.672828834461906,0.08068783068783067,0.08068783068783067,29600.0,4.2
85,Iceland,8.6,9.223027354217395,3.97,21.9,83.1,3.4,3.7,1.3862943611198906,0.004651162790697674,0.575,52200.0,2.8
86,India,3.9,8.438009243891594,0.78,3.9,69.1,0.7,0.0,5.981414211254481,0.03421258814311831,0.11830765212849308,7200.0,8.5
87,Indonesia,3.3,9.767292357659825,0.38,6.9,73.2,1.2,-1.1,4.9344739331306915,0.09485430874147552,0.08803471791692498,12400.0,5.4
88,Iran,7.6,9.246621004453464,1.14,25.8,74.2,0.2,-0.2,3.9318256327243257,0.06254256981449577,0.6427741496053527,20100.0,11.8
89,Iraq,6.536708860759492,8.927485648266257,0.82,30.4,74.9,1.4,-1.1,4.532599493153256,0.055714285714285716,0.5471428571428572,16700.0,16.0
90,Ireland,7.8,9.223027354217395,3.09,25.3,81.0,2.8,4.0,4.290459441148391,0.035368934576182585,0.0021778900601097657,73200.0,6.7
91,Isle of Man,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,81.4,3.2655405405405413,5.8,5.056245805348308,0.007874015748031496,0.5551181102362205,84600.0,1.1
92,Israel,7.4,9.889388252060893,3.22,26.1,82.7,3.1,2.1,5.953243334287785,0.010210858376224471,0.18221816370579447,36400.0,4.2
93,Italy,9.0,9.959919678390985,4.09,19.9,82.4,3.4,3.6,5.337538079701318,0.12965265127270936,0.2285091822165329,38200.0,11.3
94,Ivory Coast,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.009404388714733545,0.1786833855799373,0.0,0.0
95,Jamaica,5.9,9.418067742376884,1.32,24.7,74.5,1.7,-9.4,5.54907608489522,0.0380952380952381,0.18095238095238092,9200.0,12.2
96,Japan,10.9,9.223027354217395,2.41,4.3,85.5,13.4,0.0,5.814130531825066,0.01851616994292961,0.10818008877615726,42900.0,2.9
97,Jordan,6.9,9.767292357659825,2.34,35.5,75.0,1.4,0.0,4.770684624465665,0.017632241813602016,0.5919395465994962,9200.0,18.3
98,Kazakhstan,3.9,9.989994994993742,3.25,21.0,71.4,6.7,0.4,2.0794415416798357,0.011102299762093577,0.16098334655035687,26300.0,5.0
99,Kenya,5.2,8.831760866327848,0.2,7.1,64.6,1.4,-0.2,4.430816798843313,0.04166666666666666,0.18981481481481485,3500.0,40.0
100,Kuwait,4.0,9.797958971132712,2.58,37.9,78.3,2.0,-2.8,5.10594547390058,0.002214022140221402,0.12988929889298892,65800.0,1.1
