,Country,Health.expenditures....of.GDP.,Literacy....,Physicians.density..physicians.1.000.population.,Obesity - adult prevalence rate (%),Life expectancy at birth (years),H_bed_density,Imigrate_Rate,Pop_Density,Death Rate,Recovery Rate,GDP - per capita (PPP) (US$),Unemployment rate (%)
171,St. Barth,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.0,0.6666666666666666,0.0,0.0
172,St. Vincent Grenadines,4.2,9.223027354217395,0.66,23.7,75.8,3.2655405405405413,0.3152941176470587,0.0,0.0,0.08333333333333333,11500.0,18.8
173,Sudan,6.3,8.712060605849802,0.41,6.6,65.8,0.8,1.9,3.1780538303479458,0.15625,0.125,4300.0,19.6
174,Suriname,6.5,9.777525249264253,1.23,26.4,72.8,3.1,0.5,1.6094379124341003,0.1,0.6,14900.0,8.9
175,Sweden,11.0,9.223027354217395,5.4,20.6,82.2,2.4,5.3,3.1354942159291497,0.09025775447793796,0.03328964613368283,51200.0,6.7
176,Switzerland,12.1,9.223027354217395,4.24,19.5,82.7,4.7,4.6,5.308267697401205,0.0452652683528686,0.5282233189389266,62100.0,3.2
177,Syria,6.536708860759492,9.2951600308978,1.22,27.8,75.2,1.5,57.0,4.653960350157523,0.06896551724137931,0.1724137931034483,2900.0,50.0
178,Taiwan,6.536708860759492,9.924716620639604,1.910361445783132,18.593333333333337,80.4,3.2655405405405413,0.9,6.484635235635252,0.015267175572519085,0.3155216284987277,50500.0,3.8
179,Tanzania,6.1,8.826097665446492,0.04,8.4,63.1,0.7,-0.5,4.0943445622221,0.05660377358490566,0.1320754716981132,3200.0,10.3
180,Thailand,3.8,9.638464608017193,0.81,10.0,75.1,2.1,0.0,4.90527477843843,0.01569077688480674,0.53769613471106,17900.0,0.7
181,Timor-Leste,6.536708860759492,9.223027354217395,1.910361445783132,3.8,68.7,3.2655405405405413,0.3152941176470587,0.0,0.0,0.16666666666666666,0.0,0.0
182,Togo,6.6,7.981227975693966,0.05,8.4,65.8,0.7,0.0,4.976733742420574,0.03896103896103896,0.4155844155844156,1700.0,6.9
183,Trinidad and Tobago,6.0,9.9498743710662,2.67,18.6,73.4,3.0,-5.8,5.472270673671475,0.07079646017699115,0.1504424778761062,31300.0,4.9
184,Tunisia,6.7,9.044335243676011,1.27,26.9,75.9,2.2,-1.6,4.2626798770413155,0.04551539491298527,0.05756358768406961,11900.0,15.5
185,Turkey,4.1,9.808159868191384,1.76,32.1,75.3,2.7,-4.5,4.653960350157523,0.021547818340986933,0.07370490393328316,27000.0,10.9
186,Turks and Caicos,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.1,0.0,0.0,0.0
187,UAE,3.5,9.6850400102426,2.39,31.7,78.7,3.2655405405405413,0.3152941176470587,0.0,0.005676059193188729,0.1891344009730387,68600.0,1.6
188,UK,9.9,9.223027354217395,2.81,27.8,80.9,2.8,2.5,5.5909869805108565,0.12897212190938825,0.0,44300.0,4.4
189,USA,6.536708860759492,9.223027354217395,2.59,36.2,80.1,2.9,3.8,3.5263605246161616,0.04243328225728973,0.0632127102815913,59800.0,4.4
190,Uganda,7.3,8.854377448471462,0.09,5.3,56.3,0.5,-0.7,5.135798437050262,0.0,0.14545454545454545,2400.0,9.4
191,Ukraine,6.1,9.989994994993742,3.01,24.1,72.4,8.8,4.6,4.30406509320417,0.029062870699881376,0.03529062870699881,8800.0,9.2
192,Uruguay,9.2,9.929753269845127,5.05,27.9,77.6,2.8,-0.9,2.995732273553991,0.016260162601626018,0.5284552845528455,22400.0,7.6
193,Uzbekistan,6.2,10.0,2.37,16.6,74.3,4.0,-2.1,4.219507705176107,0.0034334763948497852,0.08497854077253217,6900.0,5.0
194,Vatican City,6.536708860759492,9.223027354217395,1.910361445783132,18.593333333333337,73.69005524861878,3.2655405405405413,0.3152941176470587,0.0,0.0,0.25,0.0,0.0
195,Venezuela,3.2,9.85393322486001,1.910361445783132,25.6,76.2,0.8,-1.2,3.58351893845611,0.046632124352331605,0.5751295336787565,12500.0,27.1
196,Vietnam,5.7,9.72111104761179,0.82,2.1,73.9,2.6,-0.3,5.683579767338681,0.0,0.6329588014981273,6900.0,2.2
197,Zambia,5.4,7.962411694957753,0.09,8.1,53.0,2.0,0.0,3.1354942159291497,0.04444444444444445,0.6666666666666666,4000.0,15.0
198,Zimbabwe,10.3,9.300537618869138,0.08,15.5,61.1,1.7,-7.3,3.6109179126442243,0.16666666666666666,0.05555555555555555,2300.0,11.3
